protein,ideal_ligand,native_ligand,CNN_pose,CNN_VS,RMSD
3UUD,57-63-6_min,EST_redock_3UUD,0.8895,7.2912,0.8209
3UUD,738-70-5_min,EST_redock_3UUD,0.8703,6.5398,inf
3UUD,93413-62-8_min,EST_redock_3UUD,0.8512,6.0668,inf
3UUD,85-68-7_min,EST_redock_3UUD,0.8482,5.2605,inf
3UUD,95-14-7_min,EST_redock_3UUD,0.8476,3.2555,inf
3UUD,126-73-8_min,EST_redock_3UUD,0.7838,3.1850,inf
3UUD,876-04-0_min,EST_redock_3UUD,0.7806,3.9664,inf
3UUD,601-57-0_min,EST_redock_3UUD,0.7608,6.1723,inf
3UUD,301-02-0_min,EST_redock_3UUD,0.7585,5.7713,inf
3UUD,2631-40-5_min,EST_redock_3UUD,0.7311,4.3161,inf
